,City,State,Restaurant
438,Litchfield,IL,Burger King
439,Marshall,IL,Burger King
440,West Lafayette,IN,Burger King
441,Bedford,IN,Wendy's
442,Bedford,IN,Arby's
443,Angola,IN,Burger King
444,Bedford,IN,Burger King
445,West Lafayette,IN,McDonald's
446,West Lafayette,IN,McDonald's
447,Decatur,IN,Wendy's
448,Decatur,IN,McDonald's
449,Decatur,IN,Burger King
450,Auburn,IN,Wendy's
451,Auburn,IN,Arby's
452,Auburn,IN,Taco Bell
453,Auburn,IN,Burger King
454,Greensburg,IN,Wendy's
455,Greensburg,IN,Arby's
456,Greensburg,IN,McDonald's
457,Marion,IN,Arby's
458,Greensburg,IN,Taco Bell
459,Greensburg,IN,Burger King
460,Muncie,IN,Wendy's
461,Muncie,IN,Taco Bell
462,Muncie,IN,McDonald's
463,Muncie,IN,KFC
464,Muncie,IN,Chick-Fil-A
465,Elkhart,IN,Burger King
466,South Bend,IN,McDonald's
467,Dowagiac,MI,McDonald's
468,New Castle,IN,KFC
469,Knightstown,IN,Burger King
470,Sparta,IL,Taco Bell
471,Washington,IN,Taco Bell
472,Washington,IN,Wendy's
473,Washington,IN,KFC
474,New Castle,IN,Hardee's
475,Hartford City,IN,KFC
476,Hartford City,IN,McDonald's
477,Hartford City,IN,Burger King
478,Jasper,IN,McDonald's
479,Jasper,IN,Hardee's
480,Jasper,IN,McDonald's
481,Jasper,IN,Taco Bell
482,Jasper,IN,Arby's
483,Jasper,IN,Wendy's
484,Huntingburg,IN,Wendy's
485,Knox,IN,Taco Bell
486,Knox,IN,Burger King
487,Knox,IN,McDonald's
488,Kokomo,IN,McDonald's
489,Huntington,IN,Wendy's
490,Huntington,IN,Arby's
491,Huntington,IN,Taco Bell
492,Huntington,IN,KFC
493,Richmond,IN,Subway
494,Richmond,IN,McDonald's
495,Richmond,IN,McDonald's
496,Madison,IN,McDonald's
497,Madison,IN,Taco Bell
498,Madison,IN,KFC
499,Madison,IN,Arby's
500,Terre Haute,IN,McDonald's
501,Columbus,IN,Chick-Fil-A
502,Michigan City,IN,Rally's Hamburgers
503,Michigan City,IN,McDonald's
504,Michigan City,IN,KFC
505,Vandalia,IL,Burger King
506,Vandalia,IL,Wendy's
507,Vandalia,IL,KFC
508,Vandalia,IL,McDonald's
509,North Vernon,IN,Arby's
510,Owensboro,KY,McDonald's
511,Owensboro,KY,Arby's
512,Norristown,PA,Arby's
513,O Fallon,MO,Subway
514,O Fallon,MO,Subway
515,O Fallon,MO,Wendy's
516,Chesterfield,MO,McDonald's
