,Address,City,Latitude,Longitude,State,Restaurant
246,2815 Fern Valley Rd,Louisville,38.1575,-85.7112,KY,Arby's
247,2800 Outer Loop,Louisville,38.13627,-85.71168,KY,McDonald's
248,6501 Paramount Park Dr,Louisville,38.156731,-85.712124,KY,Taco Bell
249,713 McCroskey St,Nixa,37.053585999999996,-93.302767,MO,Arby's
250,3409 W Blue Ridge Dr,Greenville,34.852468,-82.451033,SC,Taco Bell
251,6103 White Horse Rd,Greenville,34.853023,-82.452875,SC,McDonald's
252,2219 Madison Street,Clarksville,36.5098,-87.2763,TN,SONIC Drive-In
253,788 Riverside Drive,Clarksville,36.5401,-87.3663,TN,Taco Bell
254,400 Lovell Rd,Knoxville,35.90428,-84.14246,TN,Wendy's
255,13433 Leopard St,Corpus Christi,27.856211,-97.629141,TX,Burger King
256,208 E Highway 90,Dayton,30.046578999999998,-94.886769,TX,Jack In The Box
257,3305 S Campbell Ave Ste E,Springfield,37.15422,-93.29613,MO,Jimmy John's
258,1173 Murfreesboro Rd,Nashville,36.1217,-86.7054,TN,McDonald's
259,2203 E Hubbard St,Mineral Wells,32.8095,-98.0953,TX,Taco Bell
260,2901 Houston Hwy,Victoria,28.8117,-96.9739,TX,Wendy's
261,6201 W Colonial Drive,Orlando,28.552591999999997,-81.464927,FL,Krystal
262,3596 MT Diablo Blvd,Lafayette,37.891487,-122.12335,CA,Baja Fresh Mexican Grill
264,903 S Springfield Ave,Bolivar,37.60553,-93.40686,MO,McDonald's
265,1875 S Springfield Ave,Bolivar,37.596828,-93.40306600000001,MO,Taco Bell
266,1905 Southwest Blvd,Jefferson City,38.55503,-92.19906999999999,MO,Taco Bell
267,2605 Missouri Blvd,Jefferson City,38.581753000000006,-92.219515,MO,Taco Bell
268,3407 Missouri Blvd,Jefferson City,38.58141,-92.24298,MO,Chick-Fil-A
269,1911 S Springfield Ave,Bolivar,37.596371999999995,-93.402919,MO,Burger King
270,5160 Southport Supply Road,Southport,33.9516,-78.0426,NC,Bojangles' Famous Chicken 'n Biscuits
271,421 N 36th St,Quincy,39.93634,-91.35880999999999,IL,Burger King
272,501 S 8th St,Rogers,36.32953,-94.12543000000001,AR,Arby's
273,2000 S Pleasant St,Springdale,36.167387,-94.143617,AR,Wendy's
274,311 N Gaskill St,Huntsville,36.08869,-93.74247,AR,Subway
275,401 S Thompson St,Springdale,36.1825,-94.138655,AR,Hardee's
276,1260 E Robinson Ave,Springdale,36.167320000000004,-94.11799,AR,McDonald's
277,1300 S Thompson St,Springdale,36.170759999999994,-94.13973,AR,Burger King
278,1407 Main St,Keokuk,40.40352,-91.39081999999999,IA,McDonald's
279,1421 Avenue H,Fort Madison,40.63043,-91.32385,IA,Taco Bell
280,1029 S Range Line Rd,Joplin,37.079654,-94.477436,MO,Taco Bell
281,18710 S Dixie Hwy,Miami,25.594611999999998,-80.35614100000001,FL,Pollo Tropical
282,709 N Jefferson St,Saint James,38.003166,-91.61875,MO,Burger King
284,368 S Gloster St,Tupelo,34.252984999999995,-88.716015,MS,Wendy's
285,840 W Main St,Tupelo,34.25764,-88.71664,MS,Burger King
286,207 Highway 15 N,Pontotoc,34.257816,-89.018178,MS,Burger King
287,1130 Murfreesboro Rd,Franklin,35.915442999999996,-86.83398299999999,TN,Arby's
288,116 Highway 15 N,Pontotoc,34.25054,-89.01787,MS,Domino's Pizza
289,1221 S Gloster St,Tupelo,34.2297,-88.7196,MS,Domino's Pizza
290,11292 Old 63 S,Lucedale,30.733883000000002,-88.4936,AL,Burger King
291,2395 Pass Rd,Biloxi,30.40158,-88.97576,AL,Burger King
292,309 S Pearson Rd.,Pearl,32.26905,-90.13568000000001,AL,Waffle House
293,4337 Robinson St,Jackson,32.300625709,-90.258128236,AL,Popeye's Louisiana Kitchen
294,4725 Clinton Blvd,Jackson,32.328147485,-90.25158736799999,AL,Popeye's Louisiana Kitchen
295,605 W US Highway 18,Garner,43.10586,-93.607445,IA,Hardee's
296,202 11th Street Sw Plz,Spencer,43.125809999999994,-95.14723000000001,IA,Burger King
297,1705 W Burlington Ave,Fairfield,41.00652,-91.98436,IA,McDonald's
298,3022 5th Ave S,Fort Dodge,42.50182,-94.15404000000001,IA,Jimmy John's
299,2313 5th Ave S,Fort Dodge,42.50071,-94.16583,IA,Wendy's
300,2509 5th Ave S,Fort Dodge,42.5011,-94.16261,IA,McDonald's
301,1755 John F Kennedy Rd,Dubuque,42.502143,-90.72184,IA,Arby's
302,1255 E 16th St,Dubuque,42.5121,-90.6552,IA,Wendy's
303,6466 Poplar Ave,Memphis,35.099798,-89.848067,TN,Backyard Burgers
304,2209 Circle Dr W,Spirit Lake,43.42173,-95.12424,IA,Burger King
305,815 West Second Street,Tifton,31.458252,-83.526697,GA,Krystal
306,810 2nd St W,Tifton,31.4575,-83.52582,GA,Arby's
307,303 S Magnolia Street,Tifton,31.451334999999997,-83.524973,GA,Bojangles' Famous Chicken 'n Biscuits
308,420 Rhomberg Ave,Dubuque,42.512515,-90.66623299999999,IA,Hardee's
309,620 Iowa St,Dubuque,42.499765999999994,-90.66504599999999,IA,McDonald's
310,2196 University Ave,Dubuque,42.499359999999996,-90.69409,IA,Hardee's
311,614 S Highland St,Memphis,35.114670000000004,-89.94566999999999,TN,McDonald's
312,108 E Brazell Street,Reidsville,32.0872,-82.1169,GA,McDonald's
313,6804 Casino Strip Resort Blvd,Robinsonville,34.819435,-90.315636,MS,Checker's Drive-in Restaurant
314,2515 Main St,Cedar Falls,42.51433,-92.44636,IA,McDonald's
315,1203 4th Stsw,Waverly,42.71363,-92.47495,IA,McDonald's
316,610 W 1st St,Cedar Falls,42.537782,-92.45217199999999,IA,McDonald's
317,70 Goodman Road,Southaven,34.963048,-89.99107099999999,MS,Krystal
318,1330 Poplar Ave,Memphis,35.14451,-90.0163,TN,Burger King
319,6428 E Shelby Dr,Memphis,35.020951000000004,-89.849198,TN,Burger King
320,3675 Lamar Ave,Memphis,35.06408,-89.9415,TN,Krystal
321,3591 Lamar Ave,Memphis,35.068121999999995,-89.944386,TN,Burger King
322,2090 Union Ave,Memphis,35.13482,-89.99183000000001,TN,Burger King
323,1130 N Quincy Ave,Ottumwa,41.017663,-92.43788599999999,IA,Arby's
324,1122 N Quincy Ave,Ottumwa,41.016358000000004,-92.438456,IA,Burger King
325,2804 Grand Ave,Billings,45.783770000000004,-108.58726999999999,MT,Domino's Pizza
326,904 Main St Ste 1,Billings,45.81531,-108.4716,MT,Domino's Pizza
327,608 Wyoming Ave,Creston,41.051853,-94.367339,IA,McDonald's
328,915 Short St,Decorah,43.29087,-91.79683,IA,McDonald's
329,915 Short St,Decorah,43.2915,-91.7971,IA,
330,506 S Main St,Swainsboro,32.584458000000005,-82.321669,GA,McDonald's
331,302 S Main St,Swainsboro,32.5931,-82.3314,GA,KFC
332,501 S Main St,Swainsboro,32.584759999999996,-82.321876,GA,Hardee's
333,413 S Main St,Swainsboro,32.58951,-82.32731,GA,Burger King
334,115 S Roosevelt Ave,Burlington,40.810887,-91.141513,IA,Wendy's
335,405 S Roosevelt Ave,Burlington,40.807291,-91.14219200000001,IA,Arby's
336,830 N 2nd St,Clinton,41.85268,-90.18691,IA,Jimmy John's
337,729 N 2nd St,Clinton,41.85137,-90.18701999999999,IA,McDonald's
338,825 N 2nd St,Clinton,41.852665,-90.186586,IA,Wendy's
339,1804 Lincoln Way,Clinton,41.816010999999996,-90.22924599999999,IA,McDonald's
340,427 E 6th St,Carroll,42.06454,-94.86163,IA,Jimmy John's
341,912 W Highway 30 St,Carroll,42.0715,-94.8767,IA,McDonald's
342,1515 Plaza Drive,Carroll,42.065153,-94.843281,IA,Arby's
343,915 W US Highway 30,Carroll,42.07128,-94.87785,IA,Burger King
344,605 Flindt Dr,Storm Lake,42.645464000000004,-95.188684,IA,Hardee's
345,613 Flindt Dr,Storm Lake,42.6453,-95.1881,IA,KFC
346,1300 Lake Ave,Storm Lake,42.655465,-95.20075,IA,Burger King
347,2401 4th St SW,Mason City,43.147806,-93.236725,IA,Arby's
348,515 S Delaware Ave,Mason City,43.147024,-93.19974,IA,Hardee's
349,2310 4th St SW,Mason City,43.148534000000005,-93.235558,IA,Burger King
350,1102 Highway 72 E,Corinth,34.919129999999996,-88.51156999999999,MS,Domino's Pizza
351,705 1st Ave E,Newton,41.699413,-93.04531999999999,IA,Burger King
352,317 W 6th St Ste 105-106,Moscow,46.729659999999996,-117.00437,ID,Domino's Pizza
353,120 Boone Heights Dr,Boone,36.201496,-81.656779,NC,Burger King
354,525 W King St,Boone,36.21992,-81.68616,NC,Jimmy John's
355,1778 Blowing Rock Rd,Boone,36.19887,-81.65861,NC,Jimmy John's
356,3100 Foothills Ave,Mountain Home,43.14158,-115.66251000000001,ID,Jack In The Box
357,2910 American Legion Blvd,Mountain Home,43.136722,-115.66511499999999,ID,Wendy's
358,2840 American Legion Blvd,Mountain Home,43.1371,-115.66441999999999,ID,McDonald's
359,946 Carolina Ave,Washington,35.555,-77.0592,NC,Waffle House
360,1212 N Main Ave,Sioux Center,43.09082,-96.17456,IA,McDonald's
