name,new_name
Shepard's Drive-In,Shepard's Drive-In
Shloma Inc,Shloma Inc
Shoney's on the Go,Shoney's on the Go
ShopRite,ShopRite
Shot Tower Inn,Shot Tower Inn
Siam To Go,Siam To Go
Simmies Arirang Hill Cheese Steak,Simmies Arirang Hill Cheese Steak
Skyline Chili,Skyline Chili
Slim Chickens,Slim Chickens
Smashburger,Smashburger
Smoothie King,Smoothie King
Snack Shack,Snack Shack
Sonic,Sonic
Sonic Drive In,Sonic Drive In
Sonic Drive in,Sonic Drive in
Sonic Drive-In,Sonic Drive-In
Sonic Drive-in,Sonic Drive-in
Sonic Drive-in (trailer),Sonic Drive-in (trailer)
Soulfish Grill,Soulfish Grill
South-A-Philly Steaks and Hoagies,South-A-Philly Steaks and Hoagies
Spangle's,Spangle's
Spangles,Spangles
St Louis Original Hamburgers,St Louis Original Hamburgers
Starbucks,Starbucks
Stars Drive-In,Stars Drive-In
Steak 'N Shake,Steak 'N Shake
Steak 'n Shake,Steak 'n Shake
Steak Escape,Steak Escape
Steak N Shake,Steak N Shake
Steak-out,Steak-out
Stripes Store #2276,Stripes Store #2276
Strongwater Spirits & Botanicals,Strongwater Spirits & Botanicals
Subway,Subway
Subway (johnson) @ Jonesboro,Subway (johnson) @ Jonesboro
Subway - Bell's Ferry,Subway - Bell's Ferry
Subway - Roland Park,Subway - Roland Park
Subway Citgo of Quarryville,Subway Citgo of Quarryville
Subway Guitars,Subway Guitars
Subway Sandwiches,Subway Sandwiches
Subway Sandwiches and Salads,Subway Sandwiches and Salads
Sunrise Cafe,Sunrise Cafe
Taco Bell,Taco Bell
Taco Bell/Pizza Hut Express,Taco Bell/Pizza Hut Express
Taco Bueno,Taco Bueno
Taco Cabana,Taco Cabana
Taco Casa,Taco Casa
Taco Del Mar,Taco Del Mar
Taco Delight,Taco Delight
Taco John's,Taco John's
Taco Local,Taco Local
Taco Mayo,Taco Mayo
Taco Time,Taco Time
Taco del Mar,Taco del Mar
TacoTime,TacoTime
Taqueria,Taqueria
Tasty Carryout,Tasty Carryout
